GADMunicipal;montoA14;montoB14;montoTotal14;montoA15;montoB15;montoTotal15;montoA16;montoB16;montoTotal16
Cuenca;37900763;12149590;50050353;37900763;17151768;55052531;37900763;11944872;49845635
Girón;1776937;557956;2334893;1776937;741520;2518457;1776937;453561;2230498
Gualaceo;4390462;1775338;6165801;4390462;2307204;6697667;4390462;1375240;5765702
Nabón;2171317;914222;3085538;2171317;1161269;3332586;2171317;682818;2854135
Paute;2877217;1131530;4008747;2877217;1469642;4346859;2877217;890143;3767360
Pucara;1540389;631726;2172116;1540389;811953;2352342;1540389;519203;2059593
San Fernando;877331;221103;1098434;877331;292424;1169755;877331;183101;1060432
Santa Isabel;2200351;787989;2988340;2200351;1023059;3223410;2200351;727628;2927979
Sigsig;3149526;1345743;4495269;3149526;1751434;4900960;3149526;1069535;4219060
Oña;877459;250096;1127555;877459;327456;1204915;877459;196845;1074304
Chordeleg;1647026;553171;2200196;1647026;748000;2395026;1647026;494566;2141591
El Pan;908371;181072;1089443;908371;242794;1151164;908371;149922;1058293
Sevilla De Oro;1007669;332000;1339669;1007669;427129;1434798;1007669;251606;1259275
Guachapala;864737;195351;1060088;864737;267210;1131947;864737;168839;1033577
Camilo Ponce Enriquez;2208156;1096966;3305122;2208156;1515248;3723405;2208156;799082;3007238
Guaranda;8802439;3711481;12513920;8802439;5354793;14157231;8802439;3106921;11909359
Chillanes;2892620;875727;3768346;2892620;1099248;3991868;2892620;588040;3480660
Chimbo;2300559;633455;2934014;2300559;906648;3207207;2300559;547670;2848229
Echeandia;1851010;492509;2343519;1851010;610708;2461719;1851010;423702;2274712
San Miguel;3302795;1170749;4473545;3302795;1473401;4776196;3302795;885596;4188391
Caluma;1933483;522438;2455921;1933483;704886;2638368;1933483;430080;2363562
Las Naves;1373633;389947;1763580;1373633;493066;1866698;1373633;302367;1676000
Azogues;6000929;2332889;8333819;6000929;3325428;9326357;6000929;2132547;8133476
Biblian;2575141;976669;3551811;2575141;1321572;3896714;2575141;789893;3365035
Cañar;6112793;2617936;8730729;6112793;3432196;9544989;6112793;2122452;8235245
La Troncal;4859039;2230692;7089731;4859039;3014881;7873920;4859039;1848995;6708034
El Tambo;1412193;467968;1880161;1412193;622554;2034747;1412193;381275;1793468
Deleg;1299747;355354;1655101;1299747;468653;1768399;1299747;280016;1579763
Suscal;1070078;314399;1384478;1070078;410370;1480449;1070078;263421;1333499
Tulcán;8601656;3677147;12278803;8601656;5131571;13733228;8601656;3148432;11750089
Bolívar;2406567;1046053;3452620;2406567;1337056;3743624;2406567;820798;3227365
Espejo;2533837;786864;3320701;2533837;1049619;3583456;2533837;650765;3184602
Mira;2293927;850220;3144147;2293927;1085056;3378983;2293927;628695;2922622
Montufar;3814685;1734203;5548889;3814685;2324131;6138816;3814685;1472907;5287592
San Pedro De Huaca;1648086;469780;2117867;1648086;621167;2269253;1648086;380145;2028231
Latacunga;13383499;6205328;19588826;13383499;8318747;21702246;13383499;5201216;18584715
La Mana;3722377;1905109;5627487;3722377;2283534;6005911;3722377;1531810;5254187
Pangua;2819312;1331533;4150845;2819312;1682868;4502180;2819312;1001087;3820399
Pujilí;7262359;3682612;10944971;7262359;4691068;11953427;7262359;2826268;10088627
Salcedo;5419567;2533346;7952913;5419567;3354914;8774481;5419567;1927682;7347249
Saquisili;2873644;1322182;4195826;2873644;1700226;4573870;2873644;909210;3782854
Sigchos;3115099;1378564;4493663;3115099;1739348;4854447;3115099;1049596;4164696
Riobamba;15840020;5682671;21522691;15840020;8388973;24228993;15840020;5249113;21089132
Alausí;5565162;2362365;7927527;5565162;3016108;8581269;5565162;1694318;7259480
Colta;5569404;2378009;7947413;5569404;3239768;8809172;5569404;1789687;7359091
Chambo;1863496;563129;2426625;1863496;722081;2585577;1863496;443962;2307458
Chunchi;1999697;634264;2633962;1999697;818653;2818350;1999697;492790;2492487
Guamote;4668306;2944475;7612781;4668306;3730059;8398365;4668306;2210421;6878727
Guano;4344802;2119568;6464370;4344802;2755028;7099830;4344802;1699024;6043825
Pallatanga;1864054;656260;2520314;1864054;841009;2705063;1864054;505625;2369678
Penipe;1422657;349257;1771914;1422657;454010;1876667;1422657;282946;1705603
Cumanda;1654041;576345;2230386;1654041;762433;2416474;1654041;471267;2125308
Machala;20905447;10272691;31178139;20905447;12061757;32967205;20905447;7924460;28829907
Arenillas;2616654;1648962;4265616;2616654;1955771;4572425;2616654;1308688;3925342
Atahualpa;1199412;271793;1471205;1199412;327850;1527262;1199412;294434;1493845
Balsas;1121749;472204;1593953;1121749;625520;1747269;1121749;371300;1493049
Chilla;964803;174649;1139451;964803;229908;1194711;964803;140343;1105145
